"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2019","177.26","165.58","185.54","164.17","37.46M","7.07%"
"Mar 31, 2019","165.55","142.65","177.29","140.26","138.31M","16.05%"
"Mar 24, 2019","142.65","137.53","145.85","132.36","81.55M","3.73%"
"Mar 17, 2019","137.53","141.15","141.87","133.05","77.10M","-2.56%"
"Mar 10, 2019","141.15","137.52","143.95","129.14","78.47M","2.63%"
"Mar 03, 2019","137.52","132.77","168.42","123.25","94.15M","3.59%"
"Feb 24, 2019","132.76","158.31","165.79","128.15","88.08M","-16.14%"
"Feb 17, 2019","158.30","122.88","159.31","122.78","59.72M","28.84%"
"Feb 10, 2019","122.87","119.44","126.17","116.42","41.65M","2.87%"
"Feb 03, 2019","119.44","110.67","122.58","102.28","44.09M","7.91%"
"Jan 27, 2019","110.68","115.83","116.24","101.60","38.12M","-4.45%"
"Jan 20, 2019","115.83","123.00","123.52","112.36","31.96M","-5.85%"
"Jan 13, 2019","123.02","123.75","130.30","112.79","23.75M","-0.59%"
"Jan 06, 2019","123.75","153.48","158.29","121.28","26.22M","-19.37%"
"Dec 30, 2018","153.49","133.64","159.78","129.51","30.58M","14.83%"
"Dec 23, 2018","133.67","115.85","158.27","112.59","44.99M","15.40%"
"Dec 16, 2018","115.84","83.90","118.67","83.89","35.27M","38.06%"
"Dec 09, 2018","83.90","90.56","98.76","81.97","28.22M","-7.36%"
"Dec 02, 2018","90.57","118.23","127.08","77.65","30.17M","-23.40%"
"Nov 25, 2018","118.23","114.42","126.60","102.80","34.99M","3.32%"
"Nov 18, 2018","114.43","176.53","182.07","111.79","30.94M","-35.18%"
"Nov 11, 2018","176.53","213.19","214.95","171.99","297.50M","-17.20%"
"Nov 04, 2018","213.21","200.27","224.64","199.38","212.10M","6.48%"
"Oct 28, 2018","200.23","204.36","205.79","193.00","96.58M","-2.02%"
"Oct 21, 2018","204.36","207.76","211.65","202.99","122.69M","-1.77%"
"Oct 14, 2018","208.04","201.22","235.83","195.40","160.37M","3.39%"
"Oct 07, 2018","201.22","225.19","232.66","188.65","11.42M","-10.64%"
"Sep 30, 2018","225.18","231.90","238.64","216.44","56.46M","-2.88%"
"Sep 23, 2018","231.87","240.82","249.02","204.84","42.56M","-3.71%"
"Sep 16, 2018","240.82","221.94","254.36","192.87","41.16M","8.50%"
"Sep 09, 2018","221.94","196.69","259.37","169.08","43.33M","12.78%"
"Sep 02, 2018","196.79","295.32","299.38","191.16","37.21M","-33.36%"
"Aug 26, 2018","295.31","277.61","301.92","269.75","32.61M","6.37%"
"Aug 19, 2018","277.61","293.90","306.30","266.40","29.14M","-5.54%"
"Aug 12, 2018","293.89","317.63","327.51","250.84","28.52M","-7.46%"
"Aug 05, 2018","317.59","407.11","413.40","305.19","10.62M","-21.98%"
"Jul 29, 2018","407.09","468.89","471.78","398.10","9.64M","-13.16%"
"Jul 22, 2018","468.78","461.51","484.97","448.14","8.61M","1.57%"
"Jul 15, 2018","461.52","434.09","515.20","432.59","9.70M","6.32%"
"Jul 08, 2018","434.09","485.40","494.03","418.71","9.95M","-10.57%"
"Jul 01, 2018","485.40","452.72","486.18","442.29","11.76M","7.23%"
"Jun 24, 2018","452.67","474.14","475.74","406.12","19.89M","-4.53%"
"Jun 17, 2018","474.14","496.95","547.50","450.72","7.04M","-4.59%"
"Jun 10, 2018","496.93","593.80","593.82","450.67","9.19M","-16.31%"
"Jun 03, 2018","593.80","591.33","627.51","577.53","5.11M","0.42%"
"May 27, 2018","591.30","586.63","598.78","507.72","7.42M","0.77%"
"May 20, 2018","586.76","696.73","722.92","547.39","7.28M","-15.79%"
"May 13, 2018","696.76","684.77","741.52","658.25","7.00M","1.87%"
"May 06, 2018","683.94","818.75","838.26","635.23","9.45M","-16.42%"
"Apr 29, 2018","818.33","683.49","830.03","630.33","7.47M","19.73%"
"Apr 22, 2018","683.49","605.58","711.74","591.78","9.39M","12.86%"
"Apr 15, 2018","605.59","502.52","623.86","498.87","7.30M","20.51%"
"Apr 08, 2018","502.52","384.85","528.71","384.85","7.87M","30.57%"
"Apr 01, 2018","384.87","394.10","418.78","359.49","6.45M","-2.31%"
"Mar 25, 2018","393.96","520.44","535.11","366.12","9.05M","-24.30%"
"Mar 18, 2018","520.45","549.96","589.83","454.90","8.50M","-5.42%"
"Mar 11, 2018","550.27","682.77","739.25","544.51","5.37M","-19.38%"
"Mar 04, 2018","682.52","855.91","870.27","644.46","5.08M","-20.26%"
"Feb 25, 2018","855.91","834.10","894.78","818.46","3.63M","2.58%"
"Feb 18, 2018","834.36","971.57","980.27","787.95","5.61M","-14.12%"
"Feb 11, 2018","971.54","851.44","972.86","778.90","5.82M","14.11%"
"Feb 04, 2018","851.39","971.49","972.66","568.78","13.83M","-12.36%"
"Jan 28, 2018","971.49","1,114.70","1,264.80","766.82","9.42M","-12.86%"
"Jan 21, 2018","1,114.80","1,146.30","1,146.30","905.38","4.35M","-2.72%"
"Jan 14, 2018","1,146.00","1,379.90","1,385.00","770.10","8.35M","-16.96%"
"Jan 07, 2018","1,380.00","1,004.30","1,423.20","968.12","7.31M","37.41%"
"Dec 31, 2017","1,004.30","682.22","1,023.60","675.56","6.23M","47.21%"
"Dec 24, 2017","682.22","672.59","766.06","560.00","5.52M","1.43%"
"Dec 17, 2017","672.59","683.25","863.00","492.01","10.27M","-1.56%"
"Dec 10, 2017","683.25","460.92","760.00","413.30","9.24M","48.24%"
"Dec 03, 2017","460.92","455.51","487.80","390.00","6.23M","1.19%"
"Nov 26, 2017","455.51","464.00","517.00","385.40","3.86M","-1.83%"
"Nov 19, 2017","464.00","346.68","481.99","343.28","4.74M","33.84%"
"Nov 12, 2017","346.68","313.07","350.40","293.33","4.59M","10.74%"
"Nov 05, 2017","313.07","299.48","328.80","285.01","5.48M","4.54%"
"Oct 29, 2017","299.48","293.49","314.40","275.21","3.84M","2.04%"
"Oct 22, 2017","293.49","299.23","311.85","273.50","2.71M","-1.92%"
"Oct 15, 2017","299.23","339.24","355.00","287.46","4.57M","-11.79%"
"Oct 08, 2017","339.24","311.46","350.00","287.03","4.29M","8.92%"
"Oct 01, 2017","311.46","303.44","315.00","285.12","2.80M","2.64%"
"Sep 24, 2017","303.44","285.90","315.51","275.41","4.37M","6.14%"
"Sep 17, 2017","285.90","253.00","299.89","239.00","5.70M","13.00%"
"Sep 10, 2017","253.00","303.08","316.73","198.00","10.66M","-16.52%"
"Sep 03, 2017","303.08","345.00","368.40","267.64","7.14M","-12.15%"
"Aug 27, 2017","345.00","332.72","395.03","325.10","3.93M","3.69%"
"Aug 20, 2017","332.72","292.78","346.99","285.01","3.74M","13.64%"
"Aug 13, 2017","292.78","307.22","312.00","272.29","3.71M","-4.70%"
"Aug 06, 2017","307.22","253.87","319.78","251.00","4.93M","21.01%"
"Jul 30, 2017","253.87","206.76","259.90","188.12","4.21M","22.78%"
"Jul 23, 2017","206.76","232.01","236.57","176.95","4.31M","-10.88%"
"Jul 16, 2017","232.01","170.15","258.00","136.12","11.92M","36.36%"
"Jul 09, 2017","170.15","245.23","249.00","169.00","6.37M","-30.62%"
"Jul 02, 2017","245.23","255.00","285.91","226.68","2.79M","-3.83%"
"Jun 25, 2017","255.00","296.89","318.27","204.11","5.59M","-14.11%"
"Jun 18, 2017","296.89","364.56","377.46","287.11","2.10M","-18.56%"
"Jun 11, 2017","364.56","325.88","412.21","265.00","4.43M","11.87%"
"Jun 04, 2017","325.88","217.01","341.94","216.10","2.23M","50.17%"
"May 28, 2017","217.01","149.99","230.55","149.66","3.16M","44.68%"
"May 21, 2017","149.99","123.03","206.06","110.42","6.35M","21.91%"
"May 14, 2017","123.03","89.90","129.25","83.77","2.71M","36.85%"
"May 07, 2017","89.90","96.65","98.00","77.76","2.07M","-6.98%"
"Apr 30, 2017","96.65","73.55","101.70","66.00","4.26M","31.41%"
"Apr 23, 2017","73.55","52.15","77.60","51.75","2.98M","41.04%"
"Apr 16, 2017","52.15","49.71","53.00","45.00","1.97M","4.91%"
"Apr 09, 2017","49.71","44.51","51.51","43.01","2.29M","11.68%"
"Apr 02, 2017","44.51","50.59","51.59","41.05","4.57M","-12.02%"
"Mar 26, 2017","50.59","50.75","54.30","46.55","3.54M","-0.32%"
"Mar 19, 2017","50.75","34.20","58.99","34.10","6.82M","48.39%"
"Mar 12, 2017","34.20","21.30","51.88","21.05","13.20M","60.56%"
"Mar 05, 2017","21.30","18.50","21.45","16.25","3.10M","15.14%"
"Feb 26, 2017","18.50","13.55","20.73","13.30","3.93M","36.53%"
"Feb 19, 2017","13.55","12.79","13.80","12.25","904.54K","5.94%"
"Feb 12, 2017","12.79","11.33","13.40","11.05","1.28M","12.89%"
"Feb 05, 2017","11.33","11.32","11.60","10.41","732.95K","0.09%"
"Jan 29, 2017","11.32","10.49","11.40","10.38","919.47K","7.71%"
"Jan 22, 2017","10.51","10.91","10.98","10.34","574.98K","-4.02%"
"Jan 15, 2017","10.95","9.67","11.09","9.53","609.65K","13.24%"
"Jan 08, 2017","9.67","9.80","10.84","9.08","716.75K","-1.73%"
"Jan 01, 2017","9.84","8.17","11.70","8.03","8.38M","23.00%"
"Dec 25, 2016","8.00","7.25","8.60","7.05","861.95K","10.34%"
"Dec 18, 2016","7.25","7.88","7.96","7.11","469.44K","-6.21%"
"Dec 11, 2016","7.73","8.14","8.63","7.47","489.40K","-4.80%"
"Dec 04, 2016","8.12","7.85","8.84","5.86","1.32M","2.65%"
"Nov 27, 2016","7.91","9.33","9.33","7.10","1.20M","-15.22%"
"Nov 20, 2016","9.33","9.68","10.26","8.70","361.91K","-4.11%"
"Nov 13, 2016","9.73","10.01","10.50","9.46","441.48K","-2.80%"
"Nov 06, 2016","10.01","11.15","11.27","9.70","327.51K","-10.38%"
"Oct 30, 2016","11.17","10.38","11.53","10.31","619.35K","7.61%"
"Oct 23, 2016","10.38","12.25","12.26","9.50","851.64K","-15.54%"
"Oct 16, 2016","12.29","12.01","12.91","11.81","603.90K","2.33%"
"Oct 09, 2016","12.01","12.26","12.56","11.60","846.39K","-2.04%"
"Oct 02, 2016","12.26","13.18","13.50","12.00","477.28K","-6.98%"
"Sep 25, 2016","13.18","12.86","13.49","12.77","378.16K","2.49%"
"Sep 18, 2016","12.86","12.73","15.40","12.26","1.34M","0.47%"
"Sep 11, 2016","12.80","12.13","12.87","11.60","1.37M","5.52%"
"Sep 04, 2016","12.13","11.88","12.18","11.26","560.81K","1.00%"
"Aug 28, 2016","12.01","11.11","12.60","10.78","410.28K","7.23%"
"Aug 21, 2016","11.20","11.26","11.42","10.90","354.94K","-0.53%"
"Aug 14, 2016","11.26","11.48","11.67","10.61","1.34M","-1.92%"
"Aug 07, 2016","11.48","10.16","12.33","10.16","1.12M","12.99%"
"Jul 31, 2016","10.16","12.45","12.55","9.90","1.62M","-18.85%"
"Jul 24, 2016","12.52","14.33","14.44","11.78","4.79M","-12.14%"
"Jul 17, 2016","14.25","11.72","15.15","11.01","5.90M","21.59%"
"Jul 10, 2016","11.72","10.83","12.55","10.20","1.72M","7.52%"
"Jul 03, 2016","10.90","12.06","12.11","9.35","3.05M","-10.21%"
"Jun 26, 2016","12.14","14.22","14.40","11.51","2.27M","-15.16%"
"Jun 19, 2016","14.31","10.76","15.90","10.51","6.07M","25.42%"
"Jun 12, 2016","11.41","14.30","21.69","10.13","11.77M","-19.36%"
"Jun 05, 2016","14.15","13.75","14.89","13.56","1.01M","2.46%"
"May 29, 2016","13.81","11.80","14.30","11.78","1.88M","15.28%"
"May 22, 2016","11.98","14.06","14.51","10.38","2.42M","-14.43%"
"May 15, 2016","14.00","10.25","14.89","9.93","2.20M","37.80%"
"May 08, 2016","10.16","9.41","11.11","9.00","744.33K","8.66%"
"May 01, 2016","9.35","8.74","10.30","8.35","756.64K","5.41%"
"Apr 24, 2016","8.87","8.35","9.36","7.12","867.38K","4.85%"
"Apr 17, 2016","8.46","8.70","10.90","7.73","569.35K","-0.94%"
"Apr 10, 2016","8.54","9.15","9.43","6.86","534.18K","-6.67%"
"Apr 03, 2016","9.15","11.61","11.76","9.00","292.70K","-21.19%"
"Mar 27, 2016","11.61","10.93","12.30","10.17","284.70K","5.55%"
"Mar 20, 2016","11.00","10.55","12.47","9.56","279.69K","6.69%"
"Mar 13, 2016","10.31","12.92","15.07","8.34","466.81K","-20.20%"
