"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2019","87.386","92.291","95.428","83.291","27.61M","-5.32%"
"Mar 31, 2019","92.300","60.788","97.788","60.267","104.07M","51.84%"
"Mar 24, 2019","60.787","61.044","63.161","57.790","70.53M","-0.42%"
"Mar 17, 2019","61.044","61.322","62.571","57.461","77.80M","-0.45%"
"Mar 10, 2019","61.321","57.989","61.978","52.689","86.00M","5.74%"
"Mar 03, 2019","57.992","48.619","59.515","44.984","112.29M","19.30%"
"Feb 24, 2019","48.609","51.424","53.406","42.723","71.82M","-5.47%"
"Feb 17, 2019","51.424","43.422","52.188","42.855","68.90M","18.43%"
"Feb 10, 2019","43.422","44.707","47.293","40.721","61.37M","-2.88%"
"Feb 03, 2019","44.709","34.629","46.151","32.441","60.56M","29.12%"
"Jan 27, 2019","34.625","32.899","34.954","30.130","52.35M","5.25%"
"Jan 20, 2019","32.900","32.081","33.864","29.660","44.19M","2.54%"
"Jan 13, 2019","32.086","31.771","32.910","29.378","41.73M","0.98%"
"Jan 06, 2019","31.774","34.438","40.800","31.079","44.85M","-7.74%"
"Dec 30, 2018","34.439","30.370","35.979","29.483","22.27M","13.61%"
"Dec 23, 2018","30.314","31.534","36.322","27.407","23.38M","-3.87%"
"Dec 16, 2018","31.534","23.649","33.054","23.635","36.63M","33.33%"
"Dec 09, 2018","23.651","24.388","26.807","22.610","27.45M","-3.02%"
"Dec 02, 2018","24.387","34.205","60.670","22.362","30.59M","-28.72%"
"Nov 25, 2018","34.212","29.675","36.305","27.669","30.19M","15.29%"
"Nov 18, 2018","29.675","42.387","44.127","29.113","34.72M","-29.98%"
"Nov 11, 2018","42.383","52.475","52.562","40.949","18.24M","-19.23%"
"Nov 04, 2018","52.477","51.115","56.805","48.437","12.48M","2.66%"
"Oct 28, 2018","51.117","52.363","52.501","48.161","15.81M","-2.38%"
"Oct 21, 2018","52.364","54.233","54.751","50.648","17.22M","-3.44%"
"Oct 14, 2018","54.231","54.063","61.175","51.838","15.80M","0.32%"
"Oct 07, 2018","54.059","57.951","60.163","49.426","16.14M","-6.72%"
"Sep 30, 2018","57.951","61.703","63.035","56.692","30.43M","-6.08%"
"Sep 23, 2018","61.703","60.628","65.486","54.430","23.52M","1.77%"
"Sep 16, 2018","60.628","56.429","62.610","50.625","22.28M","7.44%"
"Sep 09, 2018","56.429","53.082","58.873","47.344","25.97M","6.30%"
"Sep 02, 2018","53.082","66.511","69.383","52.073","21.81M","-20.19%"
"Aug 26, 2018","66.511","57.888","67.822","55.880","21.20M","14.90%"
"Aug 19, 2018","57.888","57.182","59.189","53.330","17.50M","1.23%"
"Aug 12, 2018","57.182","57.753","62.205","48.926","18.03M","-0.99%"
"Aug 05, 2018","57.753","72.971","76.712","55.122","14.95M","-20.85%"
"Jul 29, 2018","72.971","84.329","85.458","72.291","9.37M","-13.47%"
"Jul 22, 2018","84.329","84.186","90.702","81.203","10.80M","0.16%"
"Jul 15, 2018","84.196","76.541","94.662","75.655","11.36M","10.00%"
"Jul 08, 2018","76.542","85.048","85.664","74.757","10.37M","-9.99%"
"Jul 01, 2018","85.040","81.278","89.591","78.142","10.17M","4.64%"
"Jun 24, 2018","81.272","82.815","87.945","72.672","13.81M","-1.86%"
"Jun 17, 2018","82.816","96.716","101.452","80.528","10.66M","-14.37%"
"Jun 10, 2018","96.718","117.601","117.606","89.354","9.13M","-17.76%"
"Jun 03, 2018","117.598","123.484","127.863","116.310","6.58M","-4.77%"
"May 27, 2018","123.485","118.629","124.323","110.033","6.34M","4.10%"
"May 20, 2018","118.625","135.163","140.567","115.181","6.66M","-12.24%"
"May 13, 2018","135.162","141.881","152.628","129.180","8.38M","-4.51%"
"May 06, 2018","141.540","178.610","183.877","131.066","10.22M","-20.72%"
"Apr 29, 2018","178.526","152.143","183.507","142.923","9.33M","17.34%"
"Apr 22, 2018","152.143","148.612","166.026","141.789","10.44M","2.33%"
"Apr 15, 2018","148.686","126.518","156.822","125.176","10.02M","17.52%"
"Apr 08, 2018","126.514","116.087","133.649","111.733","9.47M","8.98%"
"Apr 01, 2018","116.087","116.333","137.024","109.881","9.00M","-0.22%"
"Mar 25, 2018","116.340","159.245","162.079","109.975","11.80M","-26.94%"
"Mar 18, 2018","159.229","152.018","178.699","139.184","13.12M","4.73%"
"Mar 11, 2018","152.039","176.796","196.486","120.080","14.10M","-13.98%"
"Mar 04, 2018","176.751","210.266","215.753","138.588","16.13M","-15.94%"
"Feb 25, 2018","210.271","206.412","231.202","199.691","13.73M","1.87%"
"Feb 18, 2018","206.412","228.753","251.122","182.445","18.73M","-9.64%"
"Feb 11, 2018","228.445","155.025","236.507","141.683","17.78M","47.36%"
"Feb 04, 2018","155.029","160.960","174.553","106.386","19.24M","-3.69%"
"Jan 28, 2018","160.974","179.650","192.470","104.906","11.80M","-10.40%"
"Jan 21, 2018","179.650","210.910","211.090","165.010","9.07M","-14.82%"
"Jan 14, 2018","210.910","258.440","267.980","135.000","22.84M","-18.26%"
"Jan 07, 2018","258.020","279.420","286.950","220.000","13.52M","-7.66%"
"Dec 31, 2017","279.420","216.030","304.000","210.000","15.21M","29.34%"
"Dec 24, 2017","216.030","293.030","295.990","206.000","15.05M","-26.28%"
"Dec 17, 2017","293.030","306.860","380.000","144.000","40.08M","-4.51%"
"Dec 10, 2017","306.860","160.950","420.000","135.450","55.78M","90.66%"
"Dec 03, 2017","160.950","99.650","199.000","95.010","39.33M","61.52%"
"Nov 26, 2017","99.650","89.130","104.750","76.010","29.05M","11.80%"
"Nov 19, 2017","89.130","69.350","89.880","68.000","17.78M","28.52%"
"Nov 12, 2017","69.350","62.490","72.500","57.080","15.45M","10.98%"
"Nov 05, 2017","62.490","55.090","67.240","53.370","16.22M","13.43%"
"Oct 29, 2017","55.090","54.520","58.390","50.250","7.81M","1.05%"
"Oct 22, 2017","54.520","58.140","59.190","52.450","7.48M","-6.23%"
"Oct 15, 2017","58.140","63.940","69.590","52.900","14.24M","-9.07%"
"Oct 08, 2017","63.940","52.570","66.850","48.150","14.41M","21.63%"
"Oct 01, 2017","52.570","55.260","55.330","50.250","5.48M","-4.87%"
"Sep 24, 2017","55.260","49.410","57.440","47.100","12.45M","11.84%"
"Sep 17, 2017","49.410","52.470","58.000","45.000","18.01M","-5.83%"
"Sep 10, 2017","52.470","71.270","71.930","33.560","34.82M","-26.38%"
"Sep 03, 2017","71.270","79.840","84.620","64.000","23.80M","-10.73%"
"Aug 27, 2017","79.840","51.550","98.280","51.200","27.80M","54.88%"
"Aug 20, 2017","51.550","45.180","55.000","44.070","8.79M","14.10%"
"Aug 13, 2017","45.180","46.330","47.990","41.650","7.15M","-2.48%"
"Aug 06, 2017","46.330","45.850","49.980","44.780","6.98M","1.05%"
"Jul 30, 2017","45.850","41.010","47.090","38.400","6.25M","11.80%"
"Jul 23, 2017","41.010","46.700","46.950","38.280","6.21M","-12.18%"
"Jul 16, 2017","46.700","38.140","47.930","34.780","12.74M","22.44%"
"Jul 09, 2017","38.140","51.270","52.550","37.500","13.10M","-25.61%"
"Jul 02, 2017","51.270","38.370","57.750","37.150","18.87M","33.62%"
"Jun 25, 2017","38.370","43.050","43.760","33.380","11.74M","-10.87%"
"Jun 18, 2017","43.050","46.010","49.990","39.560","17.50M","-6.43%"
"Jun 11, 2017","46.010","30.130","49.000","24.420","23.13M","52.70%"
"Jun 04, 2017","30.130","27.400","31.800","26.790","11.23M","9.96%"
"May 28, 2017","27.400","23.500","29.940","23.060","10.49M","16.60%"
"May 21, 2017","23.500","27.340","35.880","19.080","16.53M","-14.05%"
"May 14, 2017","27.340","29.090","30.600","20.310","13.92M","-6.02%"
"May 07, 2017","29.090","28.430","38.910","22.670","17.50M","2.32%"
"Apr 30, 2017","28.430","16.340","36.000","15.500","19.27M","73.99%"
"Apr 23, 2017","16.340","14.350","16.400","13.470","9.16M","13.87%"
"Apr 16, 2017","14.350","11.690","16.000","10.010","7.58M","22.75%"
"Apr 09, 2017","11.690","10.790","12.230","8.570","5.84M","8.34%"
"Apr 02, 2017","10.790","7.610","13.750","7.030","10.16M","41.79%"
"Mar 26, 2017","7.610","4.090","9.900","4.030","3.84M","86.06%"
"Mar 19, 2017","4.090","4.020","4.500","3.810","671.01K","1.74%"
"Mar 12, 2017","4.020","3.820","4.610","3.690","658.07K","5.24%"
"Mar 05, 2017","3.820","4.040","4.260","3.700","245.35K","-5.45%"
"Feb 26, 2017","4.040","3.900","4.500","3.800","259.47K","3.59%"
"Feb 19, 2017","3.900","3.840","4.000","3.760","148.34K","1.56%"
"Feb 12, 2017","3.840","3.840","3.950","3.740","109.15K","0.00%"
"Feb 05, 2017","3.840","4.020","4.060","3.620","276.07K","-4.48%"
"Jan 29, 2017","4.020","3.870","4.190","3.830","131.28K","3.88%"
"Jan 22, 2017","3.870","3.920","3.970","3.650","80.32K","-1.28%"
"Jan 15, 2017","3.920","4.000","4.160","3.810","44.53K","-2.00%"
"Jan 08, 2017","4.000","3.980","4.750","3.790","70.96K","0.50%"
"Jan 01, 2017","3.980","4.360","5.990","3.660","15.35M","-8.72%"
"Dec 25, 2016","4.360","4.470","5.000","4.080","39.42K","-2.46%"
"Dec 18, 2016","4.470","3.720","5.140","3.610","69.56K","20.16%"
"Dec 11, 2016","3.720","3.700","3.720","3.500","5.41K","0.54%"
"Dec 04, 2016","3.700","3.900","3.920","3.320","36.36K","-5.13%"
"Nov 27, 2016","3.900","3.860","3.980","3.510","18.77K","1.04%"
"Nov 20, 2016","3.860","3.920","3.990","3.810","13.44K","-1.53%"
"Nov 13, 2016","3.920","3.750","4.060","3.650","43.30K","4.53%"
"Nov 06, 2016","3.750","3.870","3.990","3.720","25.18K","-3.10%"
"Oct 30, 2016","3.870","4.060","4.500","3.770","56.51K","-4.68%"
"Oct 23, 2016","4.060","3.840","4.240","3.700","37.35K","5.73%"
"Oct 16, 2016","3.840","3.920","3.940","3.750","17.25K","-2.04%"
"Oct 09, 2016","3.920","3.860","3.940","3.750","18.61K","1.55%"
"Oct 02, 2016","3.860","3.850","3.940","3.780","30.78K","0.26%"
"Sep 25, 2016","3.850","3.870","4.000","3.790","16.96K","-0.52%"
"Sep 18, 2016","3.870","3.820","6.720","3.610","43.41K","1.31%"
"Sep 11, 2016","3.820","3.960","4.040","3.770","15.21K","-3.54%"
"Sep 04, 2016","3.960","3.880","4.080","3.850","13.93K","2.06%"
"Aug 28, 2016","3.880","3.780","4.350","3.260","49.85K","2.65%"
