"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2019","0.35099","0.35256","0.37025","0.34445","2.81B","-0.45%"
"Mar 31, 2019","0.35256","0.31104","0.37939","0.30744","8.78B","13.35%"
"Mar 24, 2019","0.31104","0.31170","0.31813","0.29407","2.81B","-0.21%"
"Mar 17, 2019","0.31171","0.31871","0.32231","0.30280","2.24B","-2.20%"
"Mar 10, 2019","0.31871","0.31388","0.32520","0.30641","2.23B","1.54%"
"Mar 03, 2019","0.31388","0.31411","0.32161","0.29794","2.35B","-0.07%"
"Feb 24, 2019","0.31411","0.33285","0.34362","0.29478","3.96B","-5.63%"
"Feb 17, 2019","0.33285","0.30089","0.34774","0.29894","3.08B","10.64%"
"Feb 10, 2019","0.30083","0.31220","0.31334","0.29804","1.61B","-3.64%"
"Feb 03, 2019","0.31220","0.31034","0.32012","0.28878","1.74B","0.60%"
"Jan 27, 2019","0.31034","0.31302","0.33604","0.28176","2.32B","-0.86%"
"Jan 20, 2019","0.31304","0.32856","0.33047","0.30761","845.41M","-4.72%"
"Jan 13, 2019","0.32855","0.32712","0.33532","0.31070","1.43B","0.43%"
"Jan 06, 2019","0.32715","0.35106","0.38143","0.31950","1.75B","-6.81%"
"Dec 30, 2018","0.35106","0.35945","0.37684","0.34663","1.46B","-2.33%"
"Dec 23, 2018","0.35945","0.36033","0.45265","0.32964","3.03B","-0.25%"
"Dec 16, 2018","0.36033","0.28546","0.39475","0.28527","2.80B","26.21%"
"Dec 09, 2018","0.28549","0.30414","0.32158","0.28162","1.13B","-6.13%"
"Dec 02, 2018","0.30414","0.37328","0.38068","0.28866","1.80B","-18.52%"
"Nov 25, 2018","0.37328","0.37934","0.40331","0.32801","3.37B","-1.62%"
"Nov 18, 2018","0.37942","0.49785","0.52971","0.37027","3.50B","-23.75%"
"Nov 11, 2018","0.49760","0.50845","0.53234","0.42382","2.26B","-2.13%"
"Nov 04, 2018","0.50845","0.45694","0.56512","0.44973","2.16B","11.30%"
"Oct 28, 2018","0.45684","0.45992","0.46626","0.43670","1.14B","-0.63%"
"Oct 21, 2018","0.45973","0.46712","0.48298","0.44394","1.20B","-1.58%"
"Oct 14, 2018","0.46712","0.42245","0.50997","0.39902","2.65B","10.60%"
"Oct 07, 2018","0.42235","0.48890","0.49986","0.37822","3.06B","-13.60%"
"Sep 30, 2018","0.48883","0.56984","0.62065","0.46909","3.46B","-14.21%"
"Sep 23, 2018","0.56983","0.57341","0.59722","0.43633","4.63B","-0.62%"
"Sep 16, 2018","0.57338","0.28041","0.78848","0.26706","7.14B","104.48%"
"Sep 09, 2018","0.28041","0.27674","0.29040","0.25336","1.62B","1.33%"
"Sep 02, 2018","0.27673","0.34691","0.34905","0.26895","1.68B","-20.23%"
"Aug 26, 2018","0.34691","0.32725","0.35727","0.31863","1.49B","6.01%"
"Aug 19, 2018","0.32725","0.32840","0.35425","0.31293","1.81B","-0.34%"
"Aug 12, 2018","0.32838","0.29745","0.37355","0.24706","2.06B","10.36%"
"Aug 05, 2018","0.29757","0.42964","0.43673","0.28814","1.50B","-30.75%"
